kind(0=King;1=Plummer;2..4=Dehnen g=0/1/2), W0(NaN for published), SFE, F_b
3.000000, nan, 0.340000, 0.757810
3.000000, nan, 0.360000, 0.778616
3.000000, nan, 0.380000, 0.797352
3.000000, nan, 0.400000, 0.814281
3.000000, nan, 0.420000, 0.829694
3.000000, nan, 0.440000, 0.843678
3.000000, nan, 0.460000, 0.856474
3.000000, nan, 0.480000, 0.868213
3.000000, nan, 0.500000, 0.878993
3.000000, nan, 0.520000, 0.888935
3.000000, nan, 0.540000, 0.898078
3.000000, nan, 0.560000, 0.906557
3.000000, nan, 0.580000, 0.914410
3.000000, nan, 0.600000, 0.921700
4.000000, nan, 0.000000, 0.000000
4.000000, nan, 0.005000, 0.008193
4.000000, nan, 0.010000, 0.023274
4.000000, nan, 0.015000, 0.042739
4.000000, nan, 0.020000, 0.065451
4.000000, nan, 0.040000, 0.174037
4.000000, nan, 0.060000, 0.286382
4.000000, nan, 0.080000, 0.386185
4.000000, nan, 0.100000, 0.470281
4.000000, nan, 0.120000, 0.540030
4.000000, nan, 0.140000, 0.597992
4.000000, nan, 0.160000, 0.646396
4.000000, nan, 0.180000, 0.687044
4.000000, nan, 0.200000, 0.721723
4.000000, nan, 0.220000, 0.751476
4.000000, nan, 0.240000, 0.777083
4.000000, nan, 0.260000, 0.799432
4.000000, nan, 0.280000, 0.818973
4.000000, nan, 0.300000, 0.836246
4.000000, nan, 0.320000, 0.851546
4.000000, nan, 0.340000, 0.865154
4.000000, nan, 0.360000, 0.877393
4.000000, nan, 0.380000, 0.888369
4.000000, nan, 0.400000, 0.898256
4.000000, nan, 0.420000, 0.907223
4.000000, nan, 0.440000, 0.915366
4.000000, nan, 0.460000, 0.922785
4.000000, nan, 0.480000, 0.929580
4.000000, nan, 0.500000, 0.935751
4.000000, nan, 0.520000, 0.941422
4.000000, nan, 0.540000, 0.946659
4.000000, nan, 0.560000, 0.951487
4.000000, nan, 0.580000, 0.955904
4.000000, nan, 0.600000, 0.960018
