series(0=virial_curve;1=dfcont_curve;2=king_pt;3=pub), x(W0 or ordinal), virial, df_cont, df_mc, df_mc_err, nbody, censored, valid
0.000000, 11.200000, 0.127084, nan, nan, nan, nan, nan, nan
0.000000, 11.400000, 0.128881, nan, nan, nan, nan, nan, nan
0.000000, 11.500000, 0.129710, nan, nan, nan, nan, nan, nan
0.000000, 12.000000, 0.133136, nan, nan, nan, nan, nan, nan
0.000000, 12.500000, 0.135357, nan, nan, nan, nan, nan, nan
0.000000, 13.000000, 0.136469, nan, nan, nan, nan, nan, nan
0.000000, 13.500000, 0.136630, nan, nan, nan, nan, nan, nan
0.000000, 14.000000, 0.136038, nan, nan, nan, nan, nan, nan
0.000000, 14.500000, 0.134902, nan, nan, nan, nan, nan, nan
0.000000, 15.000000, 0.133437, nan, nan, nan, nan, nan, nan
0.000000, 15.500000, 0.131848, nan, nan, nan, nan, nan, nan
0.000000, 16.000000, 0.130320, nan, nan, nan, nan, nan, nan
0.000000, 16.500000, 0.129002, nan, nan, nan, nan, nan, nan
0.000000, 17.000000, 0.127996, nan, nan, nan, nan, nan, nan
0.000000, 17.500000, 0.127350, nan, nan, nan, nan, nan, nan
0.000000, 18.000000, 0.127061, nan, nan, nan, nan, nan, nan
0.000000, 18.500000, 0.127086, nan, nan, nan, nan, nan, nan
0.000000, 19.000000, 0.127352, nan, nan, nan, nan, nan, nan
0.000000, 19.500000, 0.127772, nan, nan, nan, nan, nan, nan
0.000000, 20.000000, 0.128265, nan, nan, nan, nan, nan, nan
1.000000, 0.500000, nan, 0.346704, nan, nan, nan, nan, 1.000000
1.000000, 2.000000, nan, 0.321367, nan, nan, nan, nan, 1.000000
1.000000, 4.000000, nan, 0.268597, nan, nan, nan, nan, 1.000000
1.000000, 6.000000, nan, 0.178785, nan, nan, nan, nan, 1.000000
1.000000, 8.000000, nan, 0.077055, nan, nan, nan, nan, 1.000000
1.000000, 9.000000, nan, 0.047215, nan, nan, nan, nan, 1.000000
1.000000, 10.000000, nan, 0.032084, nan, nan, nan, nan, 1.000000
1.000000, 12.000000, nan, 0.019524, nan, nan, nan, nan, 1.000000
1.000000, 14.000000, nan, 0.018349, nan, nan, nan, nan, 1.000000
1.000000, 16.000000, nan, 0.022724, nan, nan, nan, nan, 1.000000
1.000000, 18.000000, nan, 0.023848, nan, nan, nan, nan, 1.000000
1.000000, 20.000000, nan, 0.022413, nan, nan, nan, nan, 1.000000
2.000000, 3.000000, 0.224715, 0.294982, 0.302804, 0.000076, nan, nan, 1.000000
2.000000, 6.000000, 0.165512, 0.178785, 0.189698, 0.000098, nan, nan, 1.000000
2.000000, 9.000000, 0.106253, 0.047215, 0.047671, 0.000042, nan, nan, 1.000000
2.000000, 12.000000, 0.133136, 0.019524, 0.019348, 0.000041, nan, nan, 1.000000
3.000000, -1.000000, 0.158659, 0.192880, 0.191744, 0.000512, 0.150000, 0.000000, 1.000000
3.000000, -2.000000, 0.205950, 0.157906, 0.154846, 0.000414, 0.090000, 0.000000, 1.000000
3.000000, -3.000000, 0.150390, 0.078667, 0.076898, 0.000205, 0.024100, 1.000000, 1.000000
3.000000, -4.000000, 0.069697, 0.009078, 0.004826, 0.000019, 0.014800, 1.000000, 1.000000
