W0, SFE_target, SFE_actual, seed, F_bound, n_iter, N_part
3.000000, 0.270000, 0.270000, 39752960.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 96031735.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 67137610.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 85807528.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 85983931.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 45897508.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 25668698.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 3681249.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 65482549.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 27417190.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 3315930.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 5314216.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 42662085.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 31899807.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 1613916.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 47563905.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 44072290.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 76561886.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 29899385.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 55780858.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 36325503.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 55525827.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 98259342.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 95828911.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 52273163.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 27613563.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 4264821.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 49427550.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 97264756.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 45060223.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 68655832.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 23258783.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 13396399.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 73128025.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 91409399.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 97310696.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 11305302.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 56398734.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 71116396.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 32390081.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 47673886.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 36524407.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 99804201.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 85597872.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 78402317.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 45366566.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 29927847.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 15981522.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 26533745.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 33177810.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 52155286.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 84816491.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 11445127.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 65935909.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 72209532.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 99475153.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 96058536.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 30125550.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 83912864.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 80836322.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 29024816.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 91837742.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 63616979.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 47338714.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 45717411.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 1457407.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 47291371.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 59033393.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 16290355.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 77976007.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 92086587.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 16627933.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 65001195.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 95411682.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 53588019.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 68952424.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 44104538.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.270000, 0.270000, 57832741.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 30396188.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 93175363.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 84281034.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.270000, 0.270000, 58547426.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 36585038.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 11454705.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 15522268.000000, 0.000000, 21.000000, 100000.000000
3.000000, 0.270000, 0.270000, 6169143.000000, 0.000000, 20.000000, 100000.000000
3.000000, 0.275000, 0.275000, 61456587.000000, 0.000000, 23.000000, 100000.000000
3.000000, 0.275000, 0.275000, 81448226.000000, 0.000000, 23.000000, 100000.000000
3.000000, 0.275000, 0.275000, 82083012.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.275000, 0.275000, 45469154.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.275000, 0.275000, 52496367.000000, 0.000000, 23.000000, 100000.000000
3.000000, 0.275000, 0.275000, 72811651.000000, 0.000000, 23.000000, 100000.000000
3.000000, 0.275000, 0.275000, 29361408.000000, 0.000000, 23.000000, 100000.000000
3.000000, 0.275000, 0.275000, 79434779.000000, 0.000000, 23.000000, 100000.000000
3.000000, 0.275000, 0.275000, 32962450.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.275000, 0.275000, 26506856.000000, 0.000000, 23.000000, 100000.000000
3.000000, 0.275000, 0.275000, 89629819.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.275000, 0.275000, 94457381.000000, 0.000000, 22.000000, 100000.000000
3.000000, 0.275000, 0.275000, 31992191.000000, 0.000000, 23.000000, 100000.000000
3.000000, 0.275000, 0.275000, 21120022.000000, 0.000000, 22.000000, 100000.000000
