W0, SFE_target, SFE_actual, seed, F_bound, n_iter, N_part
3.000000, 0.305000, 0.305000, 63534774.000000, 0.000000, 154.000000, 100000.000000
3.000000, 0.305000, 0.305000, 17357678.000000, 0.532480, 55.000000, 100000.000000
3.000000, 0.305000, 0.305000, 76050685.000000, 0.550020, 57.000000, 100000.000000
3.000000, 0.305000, 0.305000, 70351772.000000, 0.513110, 85.000000, 100000.000000
3.000000, 0.305000, 0.305000, 36098070.000000, 0.500420, 91.000000, 100000.000000
3.000000, 0.305000, 0.305000, 7724080.000000, 0.529770, 62.000000, 100000.000000
3.000000, 0.305000, 0.305000, 97099103.000000, 0.527570, 61.000000, 100000.000000
3.000000, 0.305000, 0.305000, 45123060.000000, 0.516820, 71.000000, 100000.000000
3.000000, 0.305000, 0.305000, 89418990.000000, 0.510220, 114.000000, 100000.000000
3.000000, 0.305000, 0.305000, 68113981.000000, 0.535990, 70.000000, 100000.000000
3.000000, 0.305000, 0.305000, 78059965.000000, 0.535360, 51.000000, 100000.000000
3.000000, 0.310000, 0.310000, 9835844.000000, 0.584770, 56.000000, 100000.000000
3.000000, 0.310000, 0.310000, 77621648.000000, 0.597720, 41.000000, 100000.000000
3.000000, 0.310000, 0.310000, 65802579.000000, 0.612960, 42.000000, 100000.000000
3.000000, 0.310000, 0.310000, 44448965.000000, 0.601340, 36.000000, 100000.000000
3.000000, 0.310000, 0.310000, 43868507.000000, 0.607490, 39.000000, 100000.000000
3.000000, 0.310000, 0.310000, 86001193.000000, 0.587290, 50.000000, 100000.000000
3.000000, 0.310000, 0.310000, 9508618.000000, 0.568450, 43.000000, 100000.000000
3.000000, 0.310000, 0.310000, 70039434.000000, 0.583790, 48.000000, 100000.000000
3.000000, 0.310000, 0.310000, 20945483.000000, 0.599660, 33.000000, 100000.000000
3.000000, 0.310000, 0.310000, 10323557.000000, 0.600570, 50.000000, 100000.000000
3.000000, 0.310000, 0.310000, 53121418.000000, 0.590720, 47.000000, 100000.000000
3.000000, 0.310000, 0.310000, 97586611.000000, 0.584190, 46.000000, 100000.000000
3.000000, 0.310000, 0.310000, 73839483.000000, 0.593320, 42.000000, 100000.000000
3.000000, 0.310000, 0.310000, 76352829.000000, 0.581320, 38.000000, 100000.000000
3.000000, 0.310000, 0.310000, 72030249.000000, 0.591390, 47.000000, 100000.000000
3.000000, 0.310000, 0.310000, 78820365.000000, 0.586450, 39.000000, 100000.000000
3.000000, 0.310000, 0.310000, 51809430.000000, 0.599310, 42.000000, 100000.000000
3.000000, 0.310000, 0.310000, 13683249.000000, 0.597150, 48.000000, 100000.000000
3.000000, 0.310000, 0.310000, 84135073.000000, 0.588070, 41.000000, 100000.000000
3.000000, 0.310000, 0.310000, 45588207.000000, 0.605250, 41.000000, 100000.000000
3.000000, 0.310000, 0.310000, 50534839.000000, 0.602220, 36.000000, 100000.000000
